TASK 3 - PHASE 3: FULL SYSTEM LOAD DISTRIBUTION LOG
Load per leg dynamically computed during crawl gait
===============================================================================================

   Time | Active |  Phase |  FL_load |  FR_load |  RL_load |  RR_load | MaxLeg |    Total
  0.560 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.570 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.580 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.590 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.600 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.610 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.620 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.630 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.640 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.650 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.660 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.670 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.680 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.690 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.700 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.710 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.720 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.730 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.740 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.750 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.760 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.770 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.780 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.790 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.800 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.810 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.820 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.830 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.840 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.850 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.860 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.870 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.880 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.890 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.900 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.910 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.920 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.930 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.940 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.950 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.960 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.970 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.980 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  0.990 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.000 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.010 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.020 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.030 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.040 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.050 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.060 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.070 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.080 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.090 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.100 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
