TASK 2 - PHASE 6: FAILURE PROPAGATION LOG
System-level failure simulation across hip + knee
=====================================================================================

SCENARIO: Healthy
   Time |     Hip |    Knee |   FootX |   FootY |   Temp |         HipFail |     KneeFail
  0.670 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.680 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.690 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.700 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.710 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.720 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.730 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.740 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.750 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.760 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.770 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.780 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.790 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.800 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.810 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.820 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.830 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.840 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.850 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.860 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.870 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.880 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.890 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.900 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.910 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.920 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.930 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.940 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.950 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.960 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.970 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.980 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  0.990 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  1.000 |    0.00 |    0.00 |  0.9000 |  0.0000 |  25.0C |              OK |           OK
  2.010 |    0.12 |    0.18 |  0.9000 |  0.0032 |  25.0C |              OK |           OK
  2.020 |    0.25 |    0.36 |  0.9000 |  0.0064 |  25.0C |              OK |           OK
  2.030 |    0.38 |    0.54 |  0.8999 |  0.0097 |  25.0C |              OK |           OK
  2.040 |    0.50 |    0.72 |  0.8999 |  0.0129 |  25.0C |              OK |           OK
  2.050 |    0.62 |    0.90 |  0.8998 |  0.0161 |  25.0C |              OK |           OK
  2.060 |    0.75 |    1.08 |  0.8998 |  0.0193 |  25.0C |              OK |           OK
  2.070 |    0.88 |    1.26 |  0.8997 |  0.0225 |  25.0C |              OK |           OK
  2.080 |    1.00 |    1.44 |  0.8996 |  0.0258 |  25.0C |              OK |           OK
  2.090 |    1.12 |    1.62 |  0.8994 |  0.0290 |  25.0C |              OK |           OK
  2.100 |    1.25 |    1.80 |  0.8993 |  0.0322 |  25.0C |              OK |           OK
  2.110 |    1.38 |    1.98 |  0.8992 |  0.0354 |  25.0C |              OK |           OK
  2.120 |    1.50 |    2.16 |  0.8990 |  0.0386 |  25.0C |              OK |           OK
  2.130 |    1.62 |    2.34 |  0.8988 |  0.0418 |  25.0C |              OK |           OK
  2.140 |    1.75 |    2.52 |  0.8987 |  0.0451 |  25.0C |              OK |           OK
  2.150 |    1.88 |    2.70 |  0.8985 |  0.0483 |  25.0C |              OK |           OK
  2.160 |    2.00 |    2.88 |  0.8982 |  0.0515 |  25.0C |              OK |           OK
  2.170 |    2.12 |    3.06 |  0.8980 |  0.0547 |  25.0C |              OK |           OK
  2.180 |    2.25 |    3.24 |  0.8978 |  0.0579 |  25.0C |              OK |           OK
  2.190 |    2.38 |    3.42 |  0.8975 |  0.0611 |  25.0C |              OK |           OK
  2.200 |    2.50 |    3.60 |  0.8973 |  0.0643 |  25.0C |              OK |           OK
  2.210 |    2.62 |    3.78 |  0.8970 |  0.0675 |  25.0C |              OK |           OK
  2.220 |    2.75 |    3.96 |  0.8967 |  0.0707 |  25.0C |              OK |           OK
  2.230 |    2.88 |    4.14 |  0.8964 |  0.0739 |  25.0C |              OK |           OK
  2.240 |    3.00 |    4.32 |  0.8961 |  0.0771 |  25.0C |              OK |           OK
  2.250 |    3.12 |    4.50 |  0.8957 |  0.0803 |  25.0C |              OK |           OK
  2.260 |    3.25 |    4.68 |  0.8954 |  0.0835 |  25.0C |              OK |           OK
  2.270 |    3.38 |    4.86 |  0.8950 |  0.0867 |  25.0C |              OK |           OK
  2.280 |    3.50 |    5.04 |  0.8946 |  0.0899 |  25.0C |              OK |           OK
  2.290 |    3.62 |    5.22 |  0.8942 |  0.0931 |  25.0C |              OK |           OK
  2.300 |    3.75 |    5.40 |  0.8938 |  0.0963 |  25.0C |              OK |           OK
  2.310 |    3.88 |    5.58 |  0.8934 |  0.0995 |  25.0C |              OK |           OK
  2.320 |    4.00 |    5.76 |  0.8930 |  0.1027 |  25.0C |              OK |           OK
  2.330 |    4.12 |    5.94 |  0.8925 |  0.1059 |  25.0C |              OK |           OK
  2.340 |    4.25 |    6.12 |  0.8921 |  0.1091 |  25.0C |              OK |           OK
  2.350 |    4.38 |    6.30 |  0.8916 |  0.1122 |  25.0C |              OK |           OK
  2.360 |    4.50 |    6.48 |  0.8911 |  0.1154 |  25.0C |              OK |           OK
  2.370 |    4.62 |    6.66 |  0.8906 |  0.1186 |  25.0C |              OK |           OK
  2.380 |    4.75 |    6.84 |  0.8901 |  0.1218 |  25.0C |              OK |           OK
  2.390 |    4.88 |    7.02 |  0.8896 |  0.1249 |  25.0C |              OK |           OK
  2.400 |    5.00 |    7.20 |  0.8891 |  0.1281 |  25.0C |              OK |           OK
  2.410 |    5.12 |    7.38 |  0.8885 |  0.1313 |  25.0C |              OK |           OK
  2.420 |    5.25 |    7.56 |  0.8879 |  0.1344 |  25.0C |              OK |           OK
  2.430 |    5.38 |    7.74 |  0.8874 |  0.1376 |  25.0C |              OK |           OK
  2.440 |    5.50 |    7.92 |  0.8868 |  0.1408 |  25.0C |              OK |           OK
  2.450 |    5.62 |    8.10 |  0.8862 |  0.1439 |  25.0C |              OK |           OK
  2.460 |    5.75 |    8.28 |  0.8856 |  0.1471 |  25.0C |              OK |           OK
  2.470 |    5.88 |    8.46 |  0.8849 |  0.1502 |  25.0C |              OK |           OK
  2.480 |    6.00 |    8.64 |  0.8843 |  0.1534 |  25.0C |              OK |           OK
  2.490 |    6.12 |    8.82 |  0.8836 |  0.1565 |  25.0C |              OK |           OK
  2.500 |    6.25 |    9.00 |  0.8829 |  0.1596 |  25.0C |              OK |           OK
  2.510 |    6.38 |    9.18 |  0.8823 |  0.1628 |  25.0C |              OK |           OK
  2.520 |    6.50 |    9.36 |  0.8816 |  0.1659 |  25.0C |              OK |           OK
  2.530 |    6.62 |    9.54 |  0.8808 |  0.1690 |  25.0C |              OK |           OK
  2.540 |    6.75 |    9.72 |  0.8801 |  0.1722 |  25.0C |              OK |           OK
  2.550 |    6.88 |    9.90 |  0.8794 |  0.1753 |  25.0C |              OK |           OK
  2.560 |    7.00 |   10.08 |  0.8786 |  0.1784 |  25.0C |              OK |           OK
  2.570 |    7.12 |   10.26 |  0.8779 |  0.1815 |  25.0C |              OK |           OK
  2.580 |    7.25 |   10.44 |  0.8771 |  0.1846 |  25.0C |              OK |           OK
  2.590 |    7.38 |   10.62 |  0.8763 |  0.1878 |  25.0C |              OK |           OK
  2.600 |    7.50 |   10.80 |  0.8755 |  0.1909 |  25.0C |              OK |           OK
  2.610 |    7.62 |   10.98 |  0.8747 |  0.1940 |  25.0C |              OK |           OK
  2.620 |    7.75 |   11.16 |  0.8738 |  0.1971 |  25.0C |              OK |           OK
  2.630 |    7.88 |   11.34 |  0.8730 |  0.2002 |  25.0C |              OK |           OK
  2.640 |    8.00 |   11.52 |  0.8721 |  0.2032 |  25.0C |              OK |           OK
  2.650 |    8.12 |   11.70 |  0.8713 |  0.2063 |  25.0C |              OK |           OK
  2.660 |    8.25 |   11.88 |  0.8704 |  0.2094 |  25.0C |              OK |           OK
