TASK 3 - PHASE 6: CONTROL INTERFACE TELEMETRY
Structured output for Rajaryan (Control) + Dhruv (Data)
===============================================================================================

   Time | Active |  Phase |    State | Progress |  FL_hip |  FR_hip |  RL_hip |  RR_hip |   Failures
  0.520 |     FL |  SWING | UNSTABLE |    0.037 |   -3.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.530 |     FL |  SWING | UNSTABLE |    0.038 |   -3.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.540 |     FL |  SWING | UNSTABLE |    0.039 |   -3.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.550 |     FL |  SWING | UNSTABLE |    0.039 |   -3.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.560 |     FL |  SWING | UNSTABLE |    0.040 |   -3.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.570 |     FL |  SWING | UNSTABLE |    0.041 |   -2.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.580 |     FL |  SWING | UNSTABLE |    0.041 |   -2.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.590 |     FL |  SWING | UNSTABLE |    0.042 |   -2.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.600 |     FL |  SWING | UNSTABLE |    0.043 |   -2.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.610 |     FL |  SWING | UNSTABLE |    0.044 |   -2.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.620 |     FL |  SWING | UNSTABLE |    0.044 |   -2.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.630 |     FL |  SWING | UNSTABLE |    0.045 |   -2.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.640 |     FL |  SWING | UNSTABLE |    0.046 |   -2.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.650 |     FL |  SWING | UNSTABLE |    0.046 |   -1.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.660 |     FL |  SWING | UNSTABLE |    0.047 |   -1.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.670 |     FL |  SWING | UNSTABLE |    0.048 |   -1.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.680 |     FL |  SWING | UNSTABLE |    0.049 |   -1.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.690 |     FL |  SWING | UNSTABLE |    0.049 |   -1.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.700 |     FL |  SWING | UNSTABLE |    0.050 |   -1.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.710 |     FL |  SWING | UNSTABLE |    0.051 |   -1.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.720 |     FL |  SWING | UNSTABLE |    0.051 |   -1.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.730 |     FL |  SWING | UNSTABLE |    0.052 |   -0.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.740 |     FL |  SWING | UNSTABLE |    0.053 |   -0.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.750 |     FL |  SWING | UNSTABLE |    0.054 |   -0.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.760 |     FL |  SWING | UNSTABLE |    0.054 |   -0.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.770 |     FL |  SWING | UNSTABLE |    0.055 |   -0.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.780 |     FL |  SWING | UNSTABLE |    0.056 |   -0.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.790 |     FL |  SWING | UNSTABLE |    0.056 |   -0.12 |  -10.00 |  -10.00 |  -10.00 |       none
